"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"47","Its time to make china pay.!!
Let's make it a movement
#boycottMadeInChina
https://t.co/YkLP93o9mR",FALSE,0,NA,2020-06-02 22:13:39,FALSE,NA,"1267942480558735361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GhagChinmay",0,FALSE,FALSE,NA,NA
"48","RT @MODIfiedVikas: I found this app 'Remove China App' really useful. It scans and removes any Chinese app. Remember, each Chinese app is s…",FALSE,0,NA,2020-06-02 22:07:40,FALSE,NA,"1267940974879178752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brjkumar1",3147,TRUE,FALSE,NA,NA
"49","RT @prafullaketkar: Even in small towns #BoycottMadeInChina is a bog movement https://t.co/gyM404kTlC",FALSE,0,NA,2020-06-02 22:01:38,FALSE,NA,"1267939456926879745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TravelerEternal",265,TRUE,FALSE,NA,NA
"50","RT @Krish206Yadav: Chalo China ko haraye.. 
""Sena Degi Bullet se, Aap Dijiye Wallet se""

#BoycottMadeInChina

All Software in a Week.
All H…",FALSE,0,NA,2020-06-02 21:54:25,FALSE,NA,"1267937640508096512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chokidaarprathu",83,TRUE,FALSE,NA,NA
"51","RT @1999Shivangi: The ""Remove china apps"" app have been removed from the #PlayStore but we will continue this movement with or without any…",FALSE,0,NA,2020-06-02 21:54:20,FALSE,NA,"1267937618454593540",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fallinchat",1,TRUE,FALSE,NA,NA
"52","@Disney But you were silent on #HongKongProtests or #UyghurHolocaust? #FightForFreedomStandWithHongKong… https://t.co/zHB959Wz2g",FALSE,1,"Disney",2020-06-02 21:51:44,TRUE,"1267224613152571393","1267936967410368512","67418441","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Winston04941825",0,FALSE,FALSE,NA,NA
"53","RT @theanuradhadas: This picture portrays the current scenario so aptly. You and I together can deter China from executing their evil plans…",FALSE,0,NA,2020-06-02 21:49:40,FALSE,NA,"1267936444816990211",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kajal44209551",18,TRUE,FALSE,NA,NA
"54","RT @MODIfiedVikas: I found this app 'Remove China App' really useful. It scans and removes any Chinese app. Remember, each Chinese app is s…",FALSE,0,NA,2020-06-02 21:47:25,FALSE,NA,"1267935879340920832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dev2anjaniputra",3147,TRUE,FALSE,NA,NA
"55","RT @SureshNakhua: #BoycottChineseProducts #BoycottMadeInChina

'Remove China App' app was really useful in identifying Chinese apps.

Unfor…",FALSE,0,NA,2020-06-02 21:46:36,FALSE,NA,"1267935674033987587",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ThoreauLiberty",63,TRUE,FALSE,NA,NA
"56","RT @MODIfiedVikas: I found this app 'Remove China App' really useful. It scans and removes any Chinese app. Remember, each Chinese app is s…",FALSE,0,NA,2020-06-02 21:45:56,FALSE,NA,"1267935508296085504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ajayRajGKP",3147,TRUE,FALSE,NA,NA
"57","RT @MoudgillParth: Please Please Please #BoycottMadeInChina Products #ChinaIndiaFaceoff This picture explain everything 
<U+0001F1EE><U+0001F1F3><U+0001F64F><U+0001F3FB> https://t.co/…",FALSE,0,NA,2020-06-02 21:43:11,FALSE,NA,"1267934815157923846",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanjaypareek_",7,TRUE,FALSE,NA,NA
"58","RT @HumorousHack: Are you willing to #BoycottMadeInChina products? I am :)

May be it will make our life a bit difficult but the pride, sov…",FALSE,0,NA,2020-06-02 21:43:07,FALSE,NA,"1267934799139942400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chokidaarprathu",504,TRUE,FALSE,NA,NA
"59","I used #RemoveChinaApps to do this!!
Watch This!!
3 Reasons I uninstalled all chinese apps... 
Every Indian Must Li… https://t.co/ot3SXJrHzi",FALSE,0,NA,2020-06-02 21:42:23,TRUE,NA,"1267934611566460929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sherickp",0,FALSE,FALSE,NA,NA
"60","Found a link from where you can download #RemoveChinaApps just show China power true of Indians retweet this post t… https://t.co/ri319QSOIq",FALSE,3,NA,2020-06-02 21:39:10,TRUE,NA,"1267933803852398594",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Best4Hack",2,FALSE,FALSE,NA,NA
"61","@onetouchapplabs Watch This!!
3 Reasons I uninstalled all chinese apps... (I used ""Remove China App"")
Link-… https://t.co/3RfALztQeb",FALSE,0,"onetouchapplabs",2020-06-02 21:39:00,TRUE,"1267881259969187840","1267933759950782473","1266653652241899521","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sherickp",1,FALSE,FALSE,NA,NA
"62","The ""Remove china apps"" app have been removed from the #PlayStore but we will continue this movement with or withou… https://t.co/JA5MJugUD9",FALSE,1,NA,2020-06-02 21:38:03,TRUE,NA,"1267933524117671936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1999Shivangi",1,FALSE,FALSE,NA,NA
"63","RT @HumorousHack: Are you willing to #BoycottMadeInChina products? I am :)

May be it will make our life a bit difficult but the pride, sov…",FALSE,0,NA,2020-06-02 21:37:32,FALSE,NA,"1267933392261259266",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deepika45638",504,TRUE,FALSE,NA,NA
